source,date,content,category,engagement_score,industry,latency_reduction_ms,source_url,cleaned_text,tokens,token_string,aspect
Akamai Research,2024-01-13,"AWS Wavelength deploys compute at telecom edge, reducing XR rendering latency from 80ms (regional cloud) to 15ms (edge zone).",Edge_Computing,334,Healthcare,37,https://www.akamai.com/resources,aws wavelength deploys compute at telecom edge reducing xr rendering latency from latency regional cloud to latency edge zone,"['aws', 'wavelength', 'deploys', 'compute', 'telecom', 'edge', 'reducing', 'rendering', 'latency', 'latency', 'regional', 'cloud', 'latency', 'edge', 'zone']",aws wavelength deploys compute telecom edge reducing rendering latency latency regional cloud latency edge zone,Edge Computing
Azure Edge,2024-01-14,"Azure Stack Edge processes 4K spatial mapping locally, transmitting only 10% of data to cloud vs 100% in centralized architectures.",Edge_Computing,354,Smart Cities,51,https://azure.microsoft.com/en-us/solutions/edge-compute/,azure stack edge processes k spatial mapping locally transmitting only percentage of data to cloud vs percentage in centralized architectures,"['azure', 'stack', 'edge', 'process', 'spatial', 'mapping', 'locally', 'transmitting', 'percentage', 'data', 'cloud', 'percentage', 'centralized', 'architecture']",azure stack edge process spatial mapping locally transmitting percentage data cloud percentage centralized architecture,Edge Computing
Akamai Research,2024-01-15,"NVIDIA CloudXR Edge nodes render photorealistic digital twins at 90fps, streaming to lightweight XR glasses over 5G.",Edge_Computing,777,Retail,31,https://www.akamai.com/resources,nvidia cloudxr edge nodes render photorealistic digital twins at fps streaming to lightweight xr glasses over g,"['nvidia', 'cloudxr', 'edge', 'node', 'render', 'photorealistic', 'digital', 'twin', 'fps', 'streaming', 'lightweight', 'glass']",nvidia cloudxr edge node render photorealistic digital twin fps streaming lightweight glass,Edge Computing
Azure Edge,2024-01-16,"Edge CDN with Fastly caches 3D assets geographically, reducing initial XR app load time from 45 seconds to 3 seconds.",Edge_Computing,707,Manufacturing,30,https://azure.microsoft.com/en-us/solutions/edge-compute/,edge cdn with fastly caches d assets geographically reducing initial xr app load time from seconds to seconds,"['edge', 'cdn', 'fastly', 'cache', 'asset', 'geographically', 'reducing', 'initial', 'app', 'load', 'time', 'second', 'second']",edge cdn fastly cache asset geographically reducing initial app load time second second,Edge Computing
Azure Edge,2024-01-17,Kubernetes at the edge orchestrates containerized XR services across 500+ distributed nodes in retail store deployments.,Edge_Computing,128,Manufacturing,15,https://azure.microsoft.com/en-us/solutions/edge-compute/,kubernetes at the edge orchestrates containerized xr services across distributed nodes in retail store deployments,"['kubernetes', 'edge', 'orchestrates', 'containerized', 'service', 'across', 'distributed', 'node', 'retail', 'store', 'deployment']",kubernetes edge orchestrates containerized service across distributed node retail store deployment,Edge Computing
NVIDIA Developer,2024-01-18,Edge inference with TensorFlow Lite enables real-time object recognition on AR glasses without cloud roundtrip.,Edge_Computing,193,Manufacturing,10,https://developer.nvidia.com/,edge inference with tensorflow lite enables realtime object recognition on ar glasses without cloud roundtrip,"['edge', 'inference', 'tensorflow', 'lite', 'enables', 'realtime', 'object', 'recognition', 'glass', 'without', 'cloud', 'roundtrip']",edge inference tensorflow lite enables realtime object recognition glass without cloud roundtrip,Edge Computing
Azure Edge,2024-01-19,"Multi-access Edge Computing (MEC) collocates XR rendering servers at cell towers, achieving 5-10ms glass-to-glass latency.",Edge_Computing,611,Healthcare,14,https://azure.microsoft.com/en-us/solutions/edge-compute/,multiaccess edge computing mec collocates xr rendering servers at cell towers achieving latency glasstoglass latency,"['multiaccess', 'edge', 'computing', 'mec', 'collocates', 'rendering', 'server', 'cell', 'tower', 'achieving', 'latency', 'glasstoglass', 'latency']",multiaccess edge computing mec collocates rendering server cell tower achieving latency glasstoglass latency,Edge Computing
AWS Blog,2024-01-20,"Akamai Edge platform tested 10,000 simultaneous XR streams with 99.95% uptime during Black Friday retail AR promotions.",Edge_Computing,372,Smart Cities,50,https://aws.amazon.com/blogs/,akamai edge platform tested simultaneous xr streams with percentage uptime during black friday retail ar promotions,"['akamai', 'edge', 'platform', 'tested', 'simultaneous', 'stream', 'percentage', 'uptime', 'black', 'friday', 'retail', 'promotion']",akamai edge platform tested simultaneous stream percentage uptime black friday retail promotion,Edge Computing
Cloudflare Blog,2024-01-21,Edge compute reduces egress costs by 70% for XR deployments; only metadata sent to cloud vs full frame buffers.,Edge_Computing,349,Smart Cities,21,https://blog.cloudflare.com/,edge compute reduces egress costs by percentage for xr deployments only metadata sent to cloud vs full frame buffers,"['edge', 'compute', 'reduces', 'egress', 'cost', 'percentage', 'deployment', 'metadata', 'sent', 'cloud', 'full', 'frame', 'buffer']",edge compute reduces egress cost percentage deployment metadata sent cloud full frame buffer,Edge Computing
Cloudflare Blog,2024-01-22,OpenNebula edge orchestration manages XR workload distribution across 200 factory edge nodes based on user density.,Edge_Computing,638,Retail,35,https://blog.cloudflare.com/,opennebula edge orchestration manages xr workload distribution across factory edge nodes based on user density,"['opennebula', 'edge', 'orchestration', 'manages', 'workload', 'distribution', 'across', 'factory', 'edge', 'node', 'based', 'user', 'density']",opennebula edge orchestration manages workload distribution across factory edge node based user density,Edge Computing
Akamai Research,2024-01-23,Edge caching of USDZ/glTF 3D models enables instant AR product visualization; 95% cache hit rate in production.,Edge_Computing,293,Retail,55,https://www.akamai.com/resources,edge caching of usdzgltf d models enables instant ar product visualization percentage cache hit rate in production,"['edge', 'caching', 'usdzgltf', 'model', 'enables', 'instant', 'product', 'visualization', 'percentage', 'cache', 'hit', 'rate', 'production']",edge caching usdzgltf model enables instant product visualization percentage cache hit rate production,Edge Computing
Azure Edge,2024-01-24,"Cloudflare Workers at edge execute real-time XR collaboration logic, supporting 50-user shared workspaces with 8ms sync.",Edge_Computing,772,Manufacturing,43,https://azure.microsoft.com/en-us/solutions/edge-compute/,cloudflare workers at edge execute realtime xr collaboration logic supporting user shared workspaces with latency sync,"['cloudflare', 'worker', 'edge', 'execute', 'realtime', 'collaboration', 'logic', 'supporting', 'user', 'shared', 'workspace', 'latency', 'sync']",cloudflare worker edge execute realtime collaboration logic supporting user shared workspace latency sync,Edge Computing
AWS Blog,2024-01-25,"AWS Wavelength deploys compute at telecom edge, reducing XR rendering latency from 80ms (regional cloud) to 15ms (edge zone).",Edge_Computing,287,Retail,58,https://aws.amazon.com/blogs/,aws wavelength deploys compute at telecom edge reducing xr rendering latency from latency regional cloud to latency edge zone,"['aws', 'wavelength', 'deploys', 'compute', 'telecom', 'edge', 'reducing', 'rendering', 'latency', 'latency', 'regional', 'cloud', 'latency', 'edge', 'zone']",aws wavelength deploys compute telecom edge reducing rendering latency latency regional cloud latency edge zone,Edge Computing
Akamai Research,2024-01-26,"Azure Stack Edge processes 4K spatial mapping locally, transmitting only 10% of data to cloud vs 100% in centralized architectures.",Edge_Computing,289,Healthcare,23,https://www.akamai.com/resources,azure stack edge processes k spatial mapping locally transmitting only percentage of data to cloud vs percentage in centralized architectures,"['azure', 'stack', 'edge', 'process', 'spatial', 'mapping', 'locally', 'transmitting', 'percentage', 'data', 'cloud', 'percentage', 'centralized', 'architecture']",azure stack edge process spatial mapping locally transmitting percentage data cloud percentage centralized architecture,Edge Computing
NVIDIA Developer,2024-01-27,"NVIDIA CloudXR Edge nodes render photorealistic digital twins at 90fps, streaming to lightweight XR glasses over 5G.",Edge_Computing,512,Smart Cities,35,https://developer.nvidia.com/,nvidia cloudxr edge nodes render photorealistic digital twins at fps streaming to lightweight xr glasses over g,"['nvidia', 'cloudxr', 'edge', 'node', 'render', 'photorealistic', 'digital', 'twin', 'fps', 'streaming', 'lightweight', 'glass']",nvidia cloudxr edge node render photorealistic digital twin fps streaming lightweight glass,Edge Computing
Akamai Research,2024-01-28,"Edge CDN with Fastly caches 3D assets geographically, reducing initial XR app load time from 45 seconds to 3 seconds.",Edge_Computing,753,Manufacturing,54,https://www.akamai.com/resources,edge cdn with fastly caches d assets geographically reducing initial xr app load time from seconds to seconds,"['edge', 'cdn', 'fastly', 'cache', 'asset', 'geographically', 'reducing', 'initial', 'app', 'load', 'time', 'second', 'second']",edge cdn fastly cache asset geographically reducing initial app load time second second,Edge Computing
Akamai Research,2024-01-29,Kubernetes at the edge orchestrates containerized XR services across 500+ distributed nodes in retail store deployments.,Edge_Computing,313,Retail,36,https://www.akamai.com/resources,kubernetes at the edge orchestrates containerized xr services across distributed nodes in retail store deployments,"['kubernetes', 'edge', 'orchestrates', 'containerized', 'service', 'across', 'distributed', 'node', 'retail', 'store', 'deployment']",kubernetes edge orchestrates containerized service across distributed node retail store deployment,Edge Computing
Azure Edge,2024-01-30,Edge inference with TensorFlow Lite enables real-time object recognition on AR glasses without cloud roundtrip.,Edge_Computing,636,Healthcare,18,https://azure.microsoft.com/en-us/solutions/edge-compute/,edge inference with tensorflow lite enables realtime object recognition on ar glasses without cloud roundtrip,"['edge', 'inference', 'tensorflow', 'lite', 'enables', 'realtime', 'object', 'recognition', 'glass', 'without', 'cloud', 'roundtrip']",edge inference tensorflow lite enables realtime object recognition glass without cloud roundtrip,Edge Computing
NVIDIA Developer,2024-01-31,"Multi-access Edge Computing (MEC) collocates XR rendering servers at cell towers, achieving 5-10ms glass-to-glass latency.",Edge_Computing,148,Healthcare,35,https://developer.nvidia.com/,multiaccess edge computing mec collocates xr rendering servers at cell towers achieving latency glasstoglass latency,"['multiaccess', 'edge', 'computing', 'mec', 'collocates', 'rendering', 'server', 'cell', 'tower', 'achieving', 'latency', 'glasstoglass', 'latency']",multiaccess edge computing mec collocates rendering server cell tower achieving latency glasstoglass latency,Edge Computing
Akamai Research,2024-02-01,"Akamai Edge platform tested 10,000 simultaneous XR streams with 99.95% uptime during Black Friday retail AR promotions.",Edge_Computing,284,Retail,66,https://www.akamai.com/resources,akamai edge platform tested simultaneous xr streams with percentage uptime during black friday retail ar promotions,"['akamai', 'edge', 'platform', 'tested', 'simultaneous', 'stream', 'percentage', 'uptime', 'black', 'friday', 'retail', 'promotion']",akamai edge platform tested simultaneous stream percentage uptime black friday retail promotion,Edge Computing
AWS Blog,2024-02-02,Edge compute reduces egress costs by 70% for XR deployments; only metadata sent to cloud vs full frame buffers.,Edge_Computing,541,Smart Cities,56,https://aws.amazon.com/blogs/,edge compute reduces egress costs by percentage for xr deployments only metadata sent to cloud vs full frame buffers,"['edge', 'compute', 'reduces', 'egress', 'cost', 'percentage', 'deployment', 'metadata', 'sent', 'cloud', 'full', 'frame', 'buffer']",edge compute reduces egress cost percentage deployment metadata sent cloud full frame buffer,Edge Computing
AWS Blog,2024-02-03,OpenNebula edge orchestration manages XR workload distribution across 200 factory edge nodes based on user density.,Edge_Computing,458,Retail,66,https://aws.amazon.com/blogs/,opennebula edge orchestration manages xr workload distribution across factory edge nodes based on user density,"['opennebula', 'edge', 'orchestration', 'manages', 'workload', 'distribution', 'across', 'factory', 'edge', 'node', 'based', 'user', 'density']",opennebula edge orchestration manages workload distribution across factory edge node based user density,Edge Computing
Cloudflare Blog,2024-02-04,Edge caching of USDZ/glTF 3D models enables instant AR product visualization; 95% cache hit rate in production.,Edge_Computing,767,Manufacturing,31,https://blog.cloudflare.com/,edge caching of usdzgltf d models enables instant ar product visualization percentage cache hit rate in production,"['edge', 'caching', 'usdzgltf', 'model', 'enables', 'instant', 'product', 'visualization', 'percentage', 'cache', 'hit', 'rate', 'production']",edge caching usdzgltf model enables instant product visualization percentage cache hit rate production,Edge Computing
NVIDIA Developer,2024-02-05,"Cloudflare Workers at edge execute real-time XR collaboration logic, supporting 50-user shared workspaces with 8ms sync.",Edge_Computing,615,Retail,56,https://developer.nvidia.com/,cloudflare workers at edge execute realtime xr collaboration logic supporting user shared workspaces with latency sync,"['cloudflare', 'worker', 'edge', 'execute', 'realtime', 'collaboration', 'logic', 'supporting', 'user', 'shared', 'workspace', 'latency', 'sync']",cloudflare worker edge execute realtime collaboration logic supporting user shared workspace latency sync,Edge Computing
NVIDIA Developer,2024-02-06,"AWS Wavelength deploys compute at telecom edge, reducing XR rendering latency from 80ms (regional cloud) to 15ms (edge zone).",Edge_Computing,484,Healthcare,65,https://developer.nvidia.com/,aws wavelength deploys compute at telecom edge reducing xr rendering latency from latency regional cloud to latency edge zone,"['aws', 'wavelength', 'deploys', 'compute', 'telecom', 'edge', 'reducing', 'rendering', 'latency', 'latency', 'regional', 'cloud', 'latency', 'edge', 'zone']",aws wavelength deploys compute telecom edge reducing rendering latency latency regional cloud latency edge zone,Edge Computing
Cloudflare Blog,2024-02-07,"Azure Stack Edge processes 4K spatial mapping locally, transmitting only 10% of data to cloud vs 100% in centralized architectures.",Edge_Computing,461,Retail,39,https://blog.cloudflare.com/,azure stack edge processes k spatial mapping locally transmitting only percentage of data to cloud vs percentage in centralized architectures,"['azure', 'stack', 'edge', 'process', 'spatial', 'mapping', 'locally', 'transmitting', 'percentage', 'data', 'cloud', 'percentage', 'centralized', 'architecture']",azure stack edge process spatial mapping locally transmitting percentage data cloud percentage centralized architecture,Edge Computing
Akamai Research,2024-02-08,"NVIDIA CloudXR Edge nodes render photorealistic digital twins at 90fps, streaming to lightweight XR glasses over 5G.",Edge_Computing,619,Smart Cities,52,https://www.akamai.com/resources,nvidia cloudxr edge nodes render photorealistic digital twins at fps streaming to lightweight xr glasses over g,"['nvidia', 'cloudxr', 'edge', 'node', 'render', 'photorealistic', 'digital', 'twin', 'fps', 'streaming', 'lightweight', 'glass']",nvidia cloudxr edge node render photorealistic digital twin fps streaming lightweight glass,Edge Computing
NVIDIA Developer,2024-02-09,"Edge CDN with Fastly caches 3D assets geographically, reducing initial XR app load time from 45 seconds to 3 seconds.",Edge_Computing,776,Logistics,57,https://developer.nvidia.com/,edge cdn with fastly caches d assets geographically reducing initial xr app load time from seconds to seconds,"['edge', 'cdn', 'fastly', 'cache', 'asset', 'geographically', 'reducing', 'initial', 'app', 'load', 'time', 'second', 'second']",edge cdn fastly cache asset geographically reducing initial app load time second second,Edge Computing
AWS Blog,2024-02-10,Kubernetes at the edge orchestrates containerized XR services across 500+ distributed nodes in retail store deployments.,Edge_Computing,630,Retail,26,https://aws.amazon.com/blogs/,kubernetes at the edge orchestrates containerized xr services across distributed nodes in retail store deployments,"['kubernetes', 'edge', 'orchestrates', 'containerized', 'service', 'across', 'distributed', 'node', 'retail', 'store', 'deployment']",kubernetes edge orchestrates containerized service across distributed node retail store deployment,Edge Computing
AWS Blog,2024-02-11,Edge inference with TensorFlow Lite enables real-time object recognition on AR glasses without cloud roundtrip.,Edge_Computing,446,Smart Cities,35,https://aws.amazon.com/blogs/,edge inference with tensorflow lite enables realtime object recognition on ar glasses without cloud roundtrip,"['edge', 'inference', 'tensorflow', 'lite', 'enables', 'realtime', 'object', 'recognition', 'glass', 'without', 'cloud', 'roundtrip']",edge inference tensorflow lite enables realtime object recognition glass without cloud roundtrip,Edge Computing
Azure Edge,2024-02-12,"Multi-access Edge Computing (MEC) collocates XR rendering servers at cell towers, achieving 5-10ms glass-to-glass latency.",Edge_Computing,336,Smart Cities,45,https://azure.microsoft.com/en-us/solutions/edge-compute/,multiaccess edge computing mec collocates xr rendering servers at cell towers achieving latency glasstoglass latency,"['multiaccess', 'edge', 'computing', 'mec', 'collocates', 'rendering', 'server', 'cell', 'tower', 'achieving', 'latency', 'glasstoglass', 'latency']",multiaccess edge computing mec collocates rendering server cell tower achieving latency glasstoglass latency,Edge Computing
NVIDIA Developer,2024-02-13,"Akamai Edge platform tested 10,000 simultaneous XR streams with 99.95% uptime during Black Friday retail AR promotions.",Edge_Computing,420,Healthcare,10,https://developer.nvidia.com/,akamai edge platform tested simultaneous xr streams with percentage uptime during black friday retail ar promotions,"['akamai', 'edge', 'platform', 'tested', 'simultaneous', 'stream', 'percentage', 'uptime', 'black', 'friday', 'retail', 'promotion']",akamai edge platform tested simultaneous stream percentage uptime black friday retail promotion,Edge Computing
Akamai Research,2024-02-14,Edge compute reduces egress costs by 70% for XR deployments; only metadata sent to cloud vs full frame buffers.,Edge_Computing,251,Smart Cities,17,https://www.akamai.com/resources,edge compute reduces egress costs by percentage for xr deployments only metadata sent to cloud vs full frame buffers,"['edge', 'compute', 'reduces', 'egress', 'cost', 'percentage', 'deployment', 'metadata', 'sent', 'cloud', 'full', 'frame', 'buffer']",edge compute reduces egress cost percentage deployment metadata sent cloud full frame buffer,Edge Computing
Cloudflare Blog,2024-02-15,OpenNebula edge orchestration manages XR workload distribution across 200 factory edge nodes based on user density.,Edge_Computing,189,Smart Cities,58,https://blog.cloudflare.com/,opennebula edge orchestration manages xr workload distribution across factory edge nodes based on user density,"['opennebula', 'edge', 'orchestration', 'manages', 'workload', 'distribution', 'across', 'factory', 'edge', 'node', 'based', 'user', 'density']",opennebula edge orchestration manages workload distribution across factory edge node based user density,Edge Computing
Cloudflare Blog,2024-02-16,Edge caching of USDZ/glTF 3D models enables instant AR product visualization; 95% cache hit rate in production.,Edge_Computing,371,Smart Cities,44,https://blog.cloudflare.com/,edge caching of usdzgltf d models enables instant ar product visualization percentage cache hit rate in production,"['edge', 'caching', 'usdzgltf', 'model', 'enables', 'instant', 'product', 'visualization', 'percentage', 'cache', 'hit', 'rate', 'production']",edge caching usdzgltf model enables instant product visualization percentage cache hit rate production,Edge Computing
Akamai Research,2024-02-17,"Cloudflare Workers at edge execute real-time XR collaboration logic, supporting 50-user shared workspaces with 8ms sync.",Edge_Computing,534,Smart Cities,61,https://www.akamai.com/resources,cloudflare workers at edge execute realtime xr collaboration logic supporting user shared workspaces with latency sync,"['cloudflare', 'worker', 'edge', 'execute', 'realtime', 'collaboration', 'logic', 'supporting', 'user', 'shared', 'workspace', 'latency', 'sync']",cloudflare worker edge execute realtime collaboration logic supporting user shared workspace latency sync,Edge Computing
Azure Edge,2024-02-18,"AWS Wavelength deploys compute at telecom edge, reducing XR rendering latency from 80ms (regional cloud) to 15ms (edge zone).",Edge_Computing,564,Manufacturing,24,https://azure.microsoft.com/en-us/solutions/edge-compute/,aws wavelength deploys compute at telecom edge reducing xr rendering latency from latency regional cloud to latency edge zone,"['aws', 'wavelength', 'deploys', 'compute', 'telecom', 'edge', 'reducing', 'rendering', 'latency', 'latency', 'regional', 'cloud', 'latency', 'edge', 'zone']",aws wavelength deploys compute telecom edge reducing rendering latency latency regional cloud latency edge zone,Edge Computing
Cloudflare Blog,2024-02-19,"Azure Stack Edge processes 4K spatial mapping locally, transmitting only 10% of data to cloud vs 100% in centralized architectures.",Edge_Computing,301,Manufacturing,56,https://blog.cloudflare.com/,azure stack edge processes k spatial mapping locally transmitting only percentage of data to cloud vs percentage in centralized architectures,"['azure', 'stack', 'edge', 'process', 'spatial', 'mapping', 'locally', 'transmitting', 'percentage', 'data', 'cloud', 'percentage', 'centralized', 'architecture']",azure stack edge process spatial mapping locally transmitting percentage data cloud percentage centralized architecture,Edge Computing
NVIDIA Developer,2024-02-20,"NVIDIA CloudXR Edge nodes render photorealistic digital twins at 90fps, streaming to lightweight XR glasses over 5G.",Edge_Computing,286,Healthcare,65,https://developer.nvidia.com/,nvidia cloudxr edge nodes render photorealistic digital twins at fps streaming to lightweight xr glasses over g,"['nvidia', 'cloudxr', 'edge', 'node', 'render', 'photorealistic', 'digital', 'twin', 'fps', 'streaming', 'lightweight', 'glass']",nvidia cloudxr edge node render photorealistic digital twin fps streaming lightweight glass,Edge Computing
Azure Edge,2024-02-21,"Edge CDN with Fastly caches 3D assets geographically, reducing initial XR app load time from 45 seconds to 3 seconds.",Edge_Computing,210,Retail,31,https://azure.microsoft.com/en-us/solutions/edge-compute/,edge cdn with fastly caches d assets geographically reducing initial xr app load time from seconds to seconds,"['edge', 'cdn', 'fastly', 'cache', 'asset', 'geographically', 'reducing', 'initial', 'app', 'load', 'time', 'second', 'second']",edge cdn fastly cache asset geographically reducing initial app load time second second,Edge Computing
NVIDIA Developer,2024-02-22,Kubernetes at the edge orchestrates containerized XR services across 500+ distributed nodes in retail store deployments.,Edge_Computing,650,Smart Cities,23,https://developer.nvidia.com/,kubernetes at the edge orchestrates containerized xr services across distributed nodes in retail store deployments,"['kubernetes', 'edge', 'orchestrates', 'containerized', 'service', 'across', 'distributed', 'node', 'retail', 'store', 'deployment']",kubernetes edge orchestrates containerized service across distributed node retail store deployment,Edge Computing
AWS Blog,2024-02-23,Edge inference with TensorFlow Lite enables real-time object recognition on AR glasses without cloud roundtrip.,Edge_Computing,158,Retail,35,https://aws.amazon.com/blogs/,edge inference with tensorflow lite enables realtime object recognition on ar glasses without cloud roundtrip,"['edge', 'inference', 'tensorflow', 'lite', 'enables', 'realtime', 'object', 'recognition', 'glass', 'without', 'cloud', 'roundtrip']",edge inference tensorflow lite enables realtime object recognition glass without cloud roundtrip,Edge Computing
Azure Edge,2024-02-24,"Multi-access Edge Computing (MEC) collocates XR rendering servers at cell towers, achieving 5-10ms glass-to-glass latency.",Edge_Computing,245,Retail,37,https://azure.microsoft.com/en-us/solutions/edge-compute/,multiaccess edge computing mec collocates xr rendering servers at cell towers achieving latency glasstoglass latency,"['multiaccess', 'edge', 'computing', 'mec', 'collocates', 'rendering', 'server', 'cell', 'tower', 'achieving', 'latency', 'glasstoglass', 'latency']",multiaccess edge computing mec collocates rendering server cell tower achieving latency glasstoglass latency,Edge Computing
Cloudflare Blog,2024-02-25,"Akamai Edge platform tested 10,000 simultaneous XR streams with 99.95% uptime during Black Friday retail AR promotions.",Edge_Computing,570,Healthcare,32,https://blog.cloudflare.com/,akamai edge platform tested simultaneous xr streams with percentage uptime during black friday retail ar promotions,"['akamai', 'edge', 'platform', 'tested', 'simultaneous', 'stream', 'percentage', 'uptime', 'black', 'friday', 'retail', 'promotion']",akamai edge platform tested simultaneous stream percentage uptime black friday retail promotion,Edge Computing
