source,date,content,category,engagement_score,industry,deployment_scale,source_url,cleaned_text,tokens,token_string,aspect,latency_reduction_ms,gpu_cost_reduction_pct,provisioning_time_reduction_pct,concurrent_users_supported
IEEE Xplore,2024-01-11,Latency jitter under 5ms is non-negotiable for XR; 5G mmWave achieves 2-3ms consistency vs 15-30ms for Wi-Fi 6.,5G_6G_Connectivity,556,Entertainment,200-500 users,https://ieeexplore.ieee.org/document/10634054/,latency jitter under latency is nonnegotiable for xr g mmwave achieves latency consistency vs latency for wifi,"['latency', 'jitter', 'latency', 'nonnegotiable', 'mmwave', 'achieves', 'latency', 'consistency', 'latency', 'wifi']",latency jitter latency nonnegotiable mmwave achieves latency consistency latency wifi,5G/6G Connectivity,,,,
Verizon 5G Labs,2024-01-12,Telefonica's 5G XR trials in automotive assembly lines reduced training time 60% with 200+ workers using AR glasses simultaneously.,5G_6G_Connectivity,380,Healthcare,500+ users,https://www.verizon.com/business/products/5g/,telefonicas g xr trials in automotive assembly lines reduced training time percentage with workers using ar glasses simultaneously,"['telefonicas', 'trial', 'automotive', 'assembly', 'line', 'reduced', 'training', 'time', 'percentage', 'worker', 'using', 'glass', 'simultaneously']",telefonicas trial automotive assembly line reduced training time percentage worker using glass simultaneously,5G/6G Connectivity,,,,
Nokia Bell Labs,2024-01-13,"5G networks enable sub-20ms latency required for motion-sickness-free XR experiences, supporting 100+ concurrent AR users in industrial environments.",5G_6G_Connectivity,898,Manufacturing,50-200 users,https://www.nokia.com/bell-labs/,g networks enable sublatency latency required for motionsicknessfree xr experiences supporting concurrent ar users in industrial environments,"['network', 'enable', 'sublatency', 'latency', 'required', 'motionsicknessfree', 'experience', 'supporting', 'concurrent', 'user', 'industrial', 'environment']",network enable sublatency latency required motionsicknessfree experience supporting concurrent user industrial environment,5G/6G Connectivity,,,,
Qualcomm Blog,2024-01-14,"Private 5G deployments eliminate Wi-Fi interference in metal-heavy factories, guaranteeing consistent bandwidth for XR fleet operations.",5G_6G_Connectivity,804,Entertainment,50-200 users,https://www.qualcomm.com/products/mobile/snapdragon/xr-vr-ar,private g deployments eliminate wifi interference in metalheavy factories guaranteeing consistent bandwidth for xr fleet operations,"['private', 'deployment', 'eliminate', 'wifi', 'interference', 'metalheavy', 'factory', 'guaranteeing', 'consistent', 'bandwidth', 'fleet', 'operation']",private deployment eliminate wifi interference metalheavy factory guaranteeing consistent bandwidth fleet operation,5G/6G Connectivity,,,,
IEEE Xplore,2024-01-15,"Network slicing in 5G Edge allocates dedicated bandwidth for XR workloads, preventing video streaming from degrading AR performance.",5G_6G_Connectivity,320,Entertainment,500+ users,https://ieeexplore.ieee.org/document/10634054/,network slicing in g edge allocates dedicated bandwidth for xr workloads preventing video streaming from degrading ar performance,"['network', 'slicing', 'edge', 'allocates', 'dedicated', 'bandwidth', 'workload', 'preventing', 'video', 'streaming', 'degrading', 'performance']",network slicing edge allocates dedicated bandwidth workload preventing video streaming degrading performance,5G/6G Connectivity,,,,
Qualcomm Blog,2024-01-16,"6G research promises 1Gbps sustained bandwidth per XR device, enabling real-time photorealistic hologram transmission.",5G_6G_Connectivity,690,Manufacturing,200-500 users,https://www.qualcomm.com/products/mobile/snapdragon/xr-vr-ar,g research promises gbps sustained bandwidth per xr device enabling realtime photorealistic hologram transmission,"['research', 'promise', 'gbps', 'sustained', 'bandwidth', 'per', 'device', 'enabling', 'realtime', 'photorealistic', 'hologram', 'transmission']",research promise gbps sustained bandwidth per device enabling realtime photorealistic hologram transmission,5G/6G Connectivity,,,,
IEEE Xplore,2024-01-17,"Multi-access Edge Computing (MEC) with 5G reduces latency from 100ms (cloud) to 5ms (edge), critical for surgical training XR.",5G_6G_Connectivity,185,Healthcare,200-500 users,https://ieeexplore.ieee.org/document/10634054/,multiaccess edge computing mec with g reduces latency from latency cloud to latency edge critical for surgical training xr,"['multiaccess', 'edge', 'computing', 'mec', 'reduces', 'latency', 'latency', 'cloud', 'latency', 'edge', 'critical', 'surgical', 'training']",multiaccess edge computing mec reduces latency latency cloud latency edge critical surgical training,5G/6G Connectivity,,,,
Nokia Bell Labs,2024-01-18,"Ericsson's 5G standalone architecture supports 10,000+ XR devices per cell site through dynamic spectrum sharing.",5G_6G_Connectivity,674,Manufacturing,50-200 users,https://www.nokia.com/bell-labs/,ericssons g standalone architecture supports xr devices per cell site through dynamic spectrum sharing,"['ericssons', 'standalone', 'architecture', 'support', 'device', 'per', 'cell', 'site', 'dynamic', 'spectrum', 'sharing']",ericssons standalone architecture support device per cell site dynamic spectrum sharing,5G/6G Connectivity,,,,
Ericsson Reports,2024-01-19,"Qualcomm Snapdragon XR2+ chips optimize 5G modem integration, reducing battery drain by 40% during cloud rendering.",5G_6G_Connectivity,309,Entertainment,200-500 users,https://www.ericsson.com/en/reports-and-papers/,qualcomm snapdragon xr chips optimize g modem integration reducing battery drain by percentage during cloud rendering,"['qualcomm', 'snapdragon', 'chip', 'optimize', 'modem', 'integration', 'reducing', 'battery', 'drain', 'percentage', 'cloud', 'rendering']",qualcomm snapdragon chip optimize modem integration reducing battery drain percentage cloud rendering,5G/6G Connectivity,,,,
IEEE Xplore,2024-01-20,Verizon 5G Ultra Wideband tested 500 concurrent VR users at NFL stadium with zero frame drops during live events.,5G_6G_Connectivity,848,Education,10-50 users,https://ieeexplore.ieee.org/document/10634054/,verizon g ultra wideband tested concurrent vr users at nfl stadium with zero frame drops during live events,"['verizon', 'ultra', 'wideband', 'tested', 'concurrent', 'user', 'nfl', 'stadium', 'zero', 'frame', 'drop', 'live', 'event']",verizon ultra wideband tested concurrent user nfl stadium zero frame drop live event,5G/6G Connectivity,,,,
Qualcomm Blog,2024-01-21,"O-RAN architecture enables vendor-agnostic 5G deployments, reducing infrastructure costs for enterprise XR rollouts.",5G_6G_Connectivity,392,Education,50-200 users,https://www.qualcomm.com/products/mobile/snapdragon/xr-vr-ar,oran architecture enables vendoragnostic g deployments reducing infrastructure costs for enterprise xr rollouts,"['oran', 'architecture', 'enables', 'vendoragnostic', 'deployment', 'reducing', 'infrastructure', 'cost', 'enterprise', 'rollouts']",oran architecture enables vendoragnostic deployment reducing infrastructure cost enterprise rollouts,5G/6G Connectivity,,,,
Nokia Bell Labs,2024-01-22,Wi-Fi 6E struggles with 50+ simultaneous XR users due to shared spectrum; private 5G scales to 500+ users linearly.,5G_6G_Connectivity,235,Retail,200-500 users,https://www.nokia.com/bell-labs/,wifi e struggles with simultaneous xr users due to shared spectrum private g scales to users linearly,"['wifi', 'struggle', 'simultaneous', 'user', 'due', 'shared', 'spectrum', 'private', 'scale', 'user', 'linearly']",wifi struggle simultaneous user due shared spectrum private scale user linearly,5G/6G Connectivity,,,,
IEEE Xplore,2024-01-23,Latency jitter under 5ms is non-negotiable for XR; 5G mmWave achieves 2-3ms consistency vs 15-30ms for Wi-Fi 6.,5G_6G_Connectivity,727,Manufacturing,50-200 users,https://ieeexplore.ieee.org/document/10634054/,latency jitter under latency is nonnegotiable for xr g mmwave achieves latency consistency vs latency for wifi,"['latency', 'jitter', 'latency', 'nonnegotiable', 'mmwave', 'achieves', 'latency', 'consistency', 'latency', 'wifi']",latency jitter latency nonnegotiable mmwave achieves latency consistency latency wifi,5G/6G Connectivity,,,,
Ericsson Reports,2024-01-24,Telefonica's 5G XR trials in automotive assembly lines reduced training time 60% with 200+ workers using AR glasses simultaneously.,5G_6G_Connectivity,831,Manufacturing,10-50 users,https://www.ericsson.com/en/reports-and-papers/,telefonicas g xr trials in automotive assembly lines reduced training time percentage with workers using ar glasses simultaneously,"['telefonicas', 'trial', 'automotive', 'assembly', 'line', 'reduced', 'training', 'time', 'percentage', 'worker', 'using', 'glass', 'simultaneously']",telefonicas trial automotive assembly line reduced training time percentage worker using glass simultaneously,5G/6G Connectivity,,,,
Ericsson Reports,2024-01-25,"5G networks enable sub-20ms latency required for motion-sickness-free XR experiences, supporting 100+ concurrent AR users in industrial environments.",5G_6G_Connectivity,706,Retail,50-200 users,https://www.ericsson.com/en/reports-and-papers/,g networks enable sublatency latency required for motionsicknessfree xr experiences supporting concurrent ar users in industrial environments,"['network', 'enable', 'sublatency', 'latency', 'required', 'motionsicknessfree', 'experience', 'supporting', 'concurrent', 'user', 'industrial', 'environment']",network enable sublatency latency required motionsicknessfree experience supporting concurrent user industrial environment,5G/6G Connectivity,,,,
Verizon 5G Labs,2024-01-26,"Private 5G deployments eliminate Wi-Fi interference in metal-heavy factories, guaranteeing consistent bandwidth for XR fleet operations.",5G_6G_Connectivity,723,Retail,50-200 users,https://www.verizon.com/business/products/5g/,private g deployments eliminate wifi interference in metalheavy factories guaranteeing consistent bandwidth for xr fleet operations,"['private', 'deployment', 'eliminate', 'wifi', 'interference', 'metalheavy', 'factory', 'guaranteeing', 'consistent', 'bandwidth', 'fleet', 'operation']",private deployment eliminate wifi interference metalheavy factory guaranteeing consistent bandwidth fleet operation,5G/6G Connectivity,,,,
Verizon 5G Labs,2024-01-27,"Network slicing in 5G Edge allocates dedicated bandwidth for XR workloads, preventing video streaming from degrading AR performance.",5G_6G_Connectivity,795,Retail,50-200 users,https://www.verizon.com/business/products/5g/,network slicing in g edge allocates dedicated bandwidth for xr workloads preventing video streaming from degrading ar performance,"['network', 'slicing', 'edge', 'allocates', 'dedicated', 'bandwidth', 'workload', 'preventing', 'video', 'streaming', 'degrading', 'performance']",network slicing edge allocates dedicated bandwidth workload preventing video streaming degrading performance,5G/6G Connectivity,,,,
Qualcomm Blog,2024-01-28,"6G research promises 1Gbps sustained bandwidth per XR device, enabling real-time photorealistic hologram transmission.",5G_6G_Connectivity,177,Entertainment,50-200 users,https://www.qualcomm.com/products/mobile/snapdragon/xr-vr-ar,g research promises gbps sustained bandwidth per xr device enabling realtime photorealistic hologram transmission,"['research', 'promise', 'gbps', 'sustained', 'bandwidth', 'per', 'device', 'enabling', 'realtime', 'photorealistic', 'hologram', 'transmission']",research promise gbps sustained bandwidth per device enabling realtime photorealistic hologram transmission,5G/6G Connectivity,,,,
IEEE Xplore,2024-01-29,"Multi-access Edge Computing (MEC) with 5G reduces latency from 100ms (cloud) to 5ms (edge), critical for surgical training XR.",5G_6G_Connectivity,769,Manufacturing,10-50 users,https://ieeexplore.ieee.org/document/10634054/,multiaccess edge computing mec with g reduces latency from latency cloud to latency edge critical for surgical training xr,"['multiaccess', 'edge', 'computing', 'mec', 'reduces', 'latency', 'latency', 'cloud', 'latency', 'edge', 'critical', 'surgical', 'training']",multiaccess edge computing mec reduces latency latency cloud latency edge critical surgical training,5G/6G Connectivity,,,,
IEEE Xplore,2024-01-30,"Ericsson's 5G standalone architecture supports 10,000+ XR devices per cell site through dynamic spectrum sharing.",5G_6G_Connectivity,705,Entertainment,500+ users,https://ieeexplore.ieee.org/document/10634054/,ericssons g standalone architecture supports xr devices per cell site through dynamic spectrum sharing,"['ericssons', 'standalone', 'architecture', 'support', 'device', 'per', 'cell', 'site', 'dynamic', 'spectrum', 'sharing']",ericssons standalone architecture support device per cell site dynamic spectrum sharing,5G/6G Connectivity,,,,
Verizon 5G Labs,2024-01-31,"Qualcomm Snapdragon XR2+ chips optimize 5G modem integration, reducing battery drain by 40% during cloud rendering.",5G_6G_Connectivity,489,Retail,50-200 users,https://www.verizon.com/business/products/5g/,qualcomm snapdragon xr chips optimize g modem integration reducing battery drain by percentage during cloud rendering,"['qualcomm', 'snapdragon', 'chip', 'optimize', 'modem', 'integration', 'reducing', 'battery', 'drain', 'percentage', 'cloud', 'rendering']",qualcomm snapdragon chip optimize modem integration reducing battery drain percentage cloud rendering,5G/6G Connectivity,,,,
IEEE Xplore,2024-02-01,Verizon 5G Ultra Wideband tested 500 concurrent VR users at NFL stadium with zero frame drops during live events.,5G_6G_Connectivity,480,Manufacturing,50-200 users,https://ieeexplore.ieee.org/document/10634054/,verizon g ultra wideband tested concurrent vr users at nfl stadium with zero frame drops during live events,"['verizon', 'ultra', 'wideband', 'tested', 'concurrent', 'user', 'nfl', 'stadium', 'zero', 'frame', 'drop', 'live', 'event']",verizon ultra wideband tested concurrent user nfl stadium zero frame drop live event,5G/6G Connectivity,,,,
IEEE Xplore,2024-02-02,"O-RAN architecture enables vendor-agnostic 5G deployments, reducing infrastructure costs for enterprise XR rollouts.",5G_6G_Connectivity,789,Entertainment,200-500 users,https://ieeexplore.ieee.org/document/10634054/,oran architecture enables vendoragnostic g deployments reducing infrastructure costs for enterprise xr rollouts,"['oran', 'architecture', 'enables', 'vendoragnostic', 'deployment', 'reducing', 'infrastructure', 'cost', 'enterprise', 'rollouts']",oran architecture enables vendoragnostic deployment reducing infrastructure cost enterprise rollouts,5G/6G Connectivity,,,,
Ericsson Reports,2024-02-03,Wi-Fi 6E struggles with 50+ simultaneous XR users due to shared spectrum; private 5G scales to 500+ users linearly.,5G_6G_Connectivity,655,Entertainment,50-200 users,https://www.ericsson.com/en/reports-and-papers/,wifi e struggles with simultaneous xr users due to shared spectrum private g scales to users linearly,"['wifi', 'struggle', 'simultaneous', 'user', 'due', 'shared', 'spectrum', 'private', 'scale', 'user', 'linearly']",wifi struggle simultaneous user due shared spectrum private scale user linearly,5G/6G Connectivity,,,,
Verizon 5G Labs,2024-02-04,Latency jitter under 5ms is non-negotiable for XR; 5G mmWave achieves 2-3ms consistency vs 15-30ms for Wi-Fi 6.,5G_6G_Connectivity,497,Retail,200-500 users,https://www.verizon.com/business/products/5g/,latency jitter under latency is nonnegotiable for xr g mmwave achieves latency consistency vs latency for wifi,"['latency', 'jitter', 'latency', 'nonnegotiable', 'mmwave', 'achieves', 'latency', 'consistency', 'latency', 'wifi']",latency jitter latency nonnegotiable mmwave achieves latency consistency latency wifi,5G/6G Connectivity,,,,
Nokia Bell Labs,2024-02-05,Telefonica's 5G XR trials in automotive assembly lines reduced training time 60% with 200+ workers using AR glasses simultaneously.,5G_6G_Connectivity,622,Manufacturing,500+ users,https://www.nokia.com/bell-labs/,telefonicas g xr trials in automotive assembly lines reduced training time percentage with workers using ar glasses simultaneously,"['telefonicas', 'trial', 'automotive', 'assembly', 'line', 'reduced', 'training', 'time', 'percentage', 'worker', 'using', 'glass', 'simultaneously']",telefonicas trial automotive assembly line reduced training time percentage worker using glass simultaneously,5G/6G Connectivity,,,,
Verizon 5G Labs,2024-02-06,"5G networks enable sub-20ms latency required for motion-sickness-free XR experiences, supporting 100+ concurrent AR users in industrial environments.",5G_6G_Connectivity,380,Retail,10-50 users,https://www.verizon.com/business/products/5g/,g networks enable sublatency latency required for motionsicknessfree xr experiences supporting concurrent ar users in industrial environments,"['network', 'enable', 'sublatency', 'latency', 'required', 'motionsicknessfree', 'experience', 'supporting', 'concurrent', 'user', 'industrial', 'environment']",network enable sublatency latency required motionsicknessfree experience supporting concurrent user industrial environment,5G/6G Connectivity,,,,
Nokia Bell Labs,2024-02-07,"Private 5G deployments eliminate Wi-Fi interference in metal-heavy factories, guaranteeing consistent bandwidth for XR fleet operations.",5G_6G_Connectivity,339,Manufacturing,10-50 users,https://www.nokia.com/bell-labs/,private g deployments eliminate wifi interference in metalheavy factories guaranteeing consistent bandwidth for xr fleet operations,"['private', 'deployment', 'eliminate', 'wifi', 'interference', 'metalheavy', 'factory', 'guaranteeing', 'consistent', 'bandwidth', 'fleet', 'operation']",private deployment eliminate wifi interference metalheavy factory guaranteeing consistent bandwidth fleet operation,5G/6G Connectivity,,,,
Ericsson Reports,2024-02-08,"Network slicing in 5G Edge allocates dedicated bandwidth for XR workloads, preventing video streaming from degrading AR performance.",5G_6G_Connectivity,374,Education,500+ users,https://www.ericsson.com/en/reports-and-papers/,network slicing in g edge allocates dedicated bandwidth for xr workloads preventing video streaming from degrading ar performance,"['network', 'slicing', 'edge', 'allocates', 'dedicated', 'bandwidth', 'workload', 'preventing', 'video', 'streaming', 'degrading', 'performance']",network slicing edge allocates dedicated bandwidth workload preventing video streaming degrading performance,5G/6G Connectivity,,,,
Qualcomm Blog,2024-02-09,"6G research promises 1Gbps sustained bandwidth per XR device, enabling real-time photorealistic hologram transmission.",5G_6G_Connectivity,534,Healthcare,10-50 users,https://www.qualcomm.com/products/mobile/snapdragon/xr-vr-ar,g research promises gbps sustained bandwidth per xr device enabling realtime photorealistic hologram transmission,"['research', 'promise', 'gbps', 'sustained', 'bandwidth', 'per', 'device', 'enabling', 'realtime', 'photorealistic', 'hologram', 'transmission']",research promise gbps sustained bandwidth per device enabling realtime photorealistic hologram transmission,5G/6G Connectivity,,,,
IEEE Xplore,2024-02-10,"Multi-access Edge Computing (MEC) with 5G reduces latency from 100ms (cloud) to 5ms (edge), critical for surgical training XR.",5G_6G_Connectivity,526,Healthcare,500+ users,https://ieeexplore.ieee.org/document/10634054/,multiaccess edge computing mec with g reduces latency from latency cloud to latency edge critical for surgical training xr,"['multiaccess', 'edge', 'computing', 'mec', 'reduces', 'latency', 'latency', 'cloud', 'latency', 'edge', 'critical', 'surgical', 'training']",multiaccess edge computing mec reduces latency latency cloud latency edge critical surgical training,5G/6G Connectivity,,,,
Ericsson Reports,2024-02-11,"Ericsson's 5G standalone architecture supports 10,000+ XR devices per cell site through dynamic spectrum sharing.",5G_6G_Connectivity,432,Healthcare,500+ users,https://www.ericsson.com/en/reports-and-papers/,ericssons g standalone architecture supports xr devices per cell site through dynamic spectrum sharing,"['ericssons', 'standalone', 'architecture', 'support', 'device', 'per', 'cell', 'site', 'dynamic', 'spectrum', 'sharing']",ericssons standalone architecture support device per cell site dynamic spectrum sharing,5G/6G Connectivity,,,,
IEEE Xplore,2024-02-12,"Qualcomm Snapdragon XR2+ chips optimize 5G modem integration, reducing battery drain by 40% during cloud rendering.",5G_6G_Connectivity,782,Retail,500+ users,https://ieeexplore.ieee.org/document/10634054/,qualcomm snapdragon xr chips optimize g modem integration reducing battery drain by percentage during cloud rendering,"['qualcomm', 'snapdragon', 'chip', 'optimize', 'modem', 'integration', 'reducing', 'battery', 'drain', 'percentage', 'cloud', 'rendering']",qualcomm snapdragon chip optimize modem integration reducing battery drain percentage cloud rendering,5G/6G Connectivity,,,,
Qualcomm Blog,2024-02-13,Verizon 5G Ultra Wideband tested 500 concurrent VR users at NFL stadium with zero frame drops during live events.,5G_6G_Connectivity,777,Education,10-50 users,https://www.qualcomm.com/products/mobile/snapdragon/xr-vr-ar,verizon g ultra wideband tested concurrent vr users at nfl stadium with zero frame drops during live events,"['verizon', 'ultra', 'wideband', 'tested', 'concurrent', 'user', 'nfl', 'stadium', 'zero', 'frame', 'drop', 'live', 'event']",verizon ultra wideband tested concurrent user nfl stadium zero frame drop live event,5G/6G Connectivity,,,,
Qualcomm Blog,2024-02-14,"O-RAN architecture enables vendor-agnostic 5G deployments, reducing infrastructure costs for enterprise XR rollouts.",5G_6G_Connectivity,894,Manufacturing,200-500 users,https://www.qualcomm.com/products/mobile/snapdragon/xr-vr-ar,oran architecture enables vendoragnostic g deployments reducing infrastructure costs for enterprise xr rollouts,"['oran', 'architecture', 'enables', 'vendoragnostic', 'deployment', 'reducing', 'infrastructure', 'cost', 'enterprise', 'rollouts']",oran architecture enables vendoragnostic deployment reducing infrastructure cost enterprise rollouts,5G/6G Connectivity,,,,
Ericsson Reports,2024-02-15,Wi-Fi 6E struggles with 50+ simultaneous XR users due to shared spectrum; private 5G scales to 500+ users linearly.,5G_6G_Connectivity,408,Entertainment,500+ users,https://www.ericsson.com/en/reports-and-papers/,wifi e struggles with simultaneous xr users due to shared spectrum private g scales to users linearly,"['wifi', 'struggle', 'simultaneous', 'user', 'due', 'shared', 'spectrum', 'private', 'scale', 'user', 'linearly']",wifi struggle simultaneous user due shared spectrum private scale user linearly,5G/6G Connectivity,,,,
Qualcomm Blog,2024-02-16,Latency jitter under 5ms is non-negotiable for XR; 5G mmWave achieves 2-3ms consistency vs 15-30ms for Wi-Fi 6.,5G_6G_Connectivity,508,Manufacturing,50-200 users,https://www.qualcomm.com/products/mobile/snapdragon/xr-vr-ar,latency jitter under latency is nonnegotiable for xr g mmwave achieves latency consistency vs latency for wifi,"['latency', 'jitter', 'latency', 'nonnegotiable', 'mmwave', 'achieves', 'latency', 'consistency', 'latency', 'wifi']",latency jitter latency nonnegotiable mmwave achieves latency consistency latency wifi,5G/6G Connectivity,,,,
Nokia Bell Labs,2024-02-17,Telefonica's 5G XR trials in automotive assembly lines reduced training time 60% with 200+ workers using AR glasses simultaneously.,5G_6G_Connectivity,859,Entertainment,10-50 users,https://www.nokia.com/bell-labs/,telefonicas g xr trials in automotive assembly lines reduced training time percentage with workers using ar glasses simultaneously,"['telefonicas', 'trial', 'automotive', 'assembly', 'line', 'reduced', 'training', 'time', 'percentage', 'worker', 'using', 'glass', 'simultaneously']",telefonicas trial automotive assembly line reduced training time percentage worker using glass simultaneously,5G/6G Connectivity,,,,
Qualcomm Blog,2024-02-18,"5G networks enable sub-20ms latency required for motion-sickness-free XR experiences, supporting 100+ concurrent AR users in industrial environments.",5G_6G_Connectivity,605,Manufacturing,500+ users,https://www.qualcomm.com/products/mobile/snapdragon/xr-vr-ar,g networks enable sublatency latency required for motionsicknessfree xr experiences supporting concurrent ar users in industrial environments,"['network', 'enable', 'sublatency', 'latency', 'required', 'motionsicknessfree', 'experience', 'supporting', 'concurrent', 'user', 'industrial', 'environment']",network enable sublatency latency required motionsicknessfree experience supporting concurrent user industrial environment,5G/6G Connectivity,,,,
IEEE Xplore,2024-02-19,"Private 5G deployments eliminate Wi-Fi interference in metal-heavy factories, guaranteeing consistent bandwidth for XR fleet operations.",5G_6G_Connectivity,560,Education,500+ users,https://ieeexplore.ieee.org/document/10634054/,private g deployments eliminate wifi interference in metalheavy factories guaranteeing consistent bandwidth for xr fleet operations,"['private', 'deployment', 'eliminate', 'wifi', 'interference', 'metalheavy', 'factory', 'guaranteeing', 'consistent', 'bandwidth', 'fleet', 'operation']",private deployment eliminate wifi interference metalheavy factory guaranteeing consistent bandwidth fleet operation,5G/6G Connectivity,,,,
